Cliente;Gasto_Crédito;Dinheiro_Investido;Gênero;Idade;Possui_Inter_Goumert;Possui_CeluInter;;;;;;;;;
1;R$ 47.944;R$ 149.597;FEM;54;0;1;;;;;;;;;
2;R$ 25.112;R$ 155.508;MASC;63;1;1;;;;;;;;;
3;R$ 143.928;R$ 206.185;FEM;50;0;0;;;;;;;;;
4;R$ 6.435;R$ 111.184;MASC;31;0;1;;;;;;;;;
5;R$ 44.640;R$ 202.596;FEM;34;0;1;;;;;;;;;
6;R$ 37.658;R$ 99.778;FEM;32;1;1;;;;;;;;;
7;R$ 33.655;R$ 135.821;MASC;39;0;0;;;;;;;;;
8;R$ 50.408;R$ 158.014;FEM;56;0;1;;;;;;;;;
9;R$ 21.696;R$ 101.520;FEM;25;1;1;;;;;;;;;
10;R$ 4.795;R$ 146.146;MASC;66;0;0;;;;;;;;;
11;R$ 53.421;R$ 107.376;MASC;64;0;1;;;;;;;;;
12;R$ 27.442;R$ 153.803;FEM;24;0;1;;;;;;;;;
13;R$ 15.094;R$ 117.091;MASC;39;1;0;;;;;;;;;
14;R$ 5.195;R$ 213.843;OUTROS;35;0;1;;;;;;;;;
15;R$ 2.659;R$ 112.896;MASC;49;1;0;;;;;;;;;
16;R$ 1.694;R$ 174.511;MASC;41;0;1;;;;;;;;;
17;R$ 18.919;R$ 134.444;MASC;47;0;0;;;;;;;;;
18;R$ 33.562;R$ 172.252;FEM;23;1;0;;;;;;;;;
19;R$ 5.918;R$ 65.897;MASC;50;0;1;;;;;;;;;
20;R$ 38.145;R$ 154.837;FEM;30;0;0;;;;;;;;;
21;R$ 149.934;R$ 159.773;FEM;44;0;1;;;;;;;;;
22;R$ 134.230;R$ 165.236;MASC;64;0;1;;;;;;;;;
23;R$ 3.221;R$ 217.633;MASC;13;1;1;;;;;;;;;
24;R$ 40.265;R$ 135.959;MASC;55;0;1;;;;;;;;;
25;R$ 991;R$ 211.737;FEM;45;0;1;;;;;;;;;
26;R$ 30.400;R$ 67.167;FEM;59;0;0;;;;;;;;;
27;R$ 43.087;R$ 245.588;MASC;52;0;0;;;;;;;;;
28;R$ 29.657;R$ 74.597;OUTROS;46;0;1;;;;;;;;;
29;R$ 84.836;R$ 103.712;FEM;22;0;1;;;;;;;;;
30;R$ 25.170;R$ 221.697;MASC;33;1;1;;;;;;;;;
31;R$ 8.974;R$ 159.192;FEM;38;1;1;;;;;;;;;
32;R$ 21.416;R$ 242.736;MASC;49;1;1;;;;;;;;;
33;R$ 48.202;R$ 140.888;FEM;16;0;1;;;;;;;;;
34;R$ 107.153;R$ 160.542;FEM;16;0;0;;;;;;;;;
35;R$ 362;R$ 146.787;FEM;37;0;1;;;;;;;;;
36;R$ 30.393;R$ 139.311;MASC;41;0;1;;;;;;;;;
37;R$ 14.104;R$ 193.686;FEM;34;0;1;;;;;;;;;
38;R$ 106.433;R$ 110.736;FEM;46;0;1;;;;;;;;;
39;R$ 43.552;R$ 166.805;FEM;65;0;1;;;;;;;;;
40;R$ 65.207;R$ 100.602;MASC;25;0;1;;;;;;;;;
41;R$ 742;R$ 54.030;MASC;58;0;0;;;;;;;;;
42;R$ 1.264;R$ 116.200;MASC;35;0;1;;;;;;;;;
43;R$ 2.366;R$ 125.012;FEM;38;1;1;;;;;;;;;
44;R$ 23.038;R$ 203.442;MASC;39;0;0;;;;;;;;;
45;R$ 13.423;R$ 221.941;MASC;33;0;1;;;;;;;;;
46;R$ 2.513;R$ 87.682;MASC;53;1;0;;;;;;;;;
47;R$ 25.217;R$ 91.224;MASC;50;1;1;;;;;;;;;
48;R$ 73.431;R$ 129.800;MASC;15;0;1;;;;;;;;;
49;R$ 56.905;R$ 265.161;MASC;50;0;0;;;;;;;;;
50;R$ 103.253;R$ 172.557;MASC;17;1;0;;;;;;;;;
51;R$ 137.512;R$ 178.827;OUTROS;17;0;0;;;;;;;;;
52;R$ 8.396;R$ 164.835;MASC;40;1;1;;;;;;;;;
53;R$ 95.865;R$ 119.217;FEM;40;0;0;;;;;;;;;
54;R$ 3.834;R$ 52.236;FEM;42;1;0;;;;;;;;;
55;R$ 27.661;R$ 43.840;FEM;60;1;1;;;;;;;;;
56;R$ 44.940;R$ 61.828;FEM;6;0;0;;;;;;;;;
57;R$ 8.102;R$ 96.217;FEM;22;0;1;;;;;;;;;
58;R$ 219.577;R$ 272.712;FEM;50;0;1;;;;;;;;;
59;R$ 71.085;R$ 185.916;MASC;39;0;1;;;;;;;;;
60;R$ 28.341;R$ 180.493;MASC;69;0;1;;;;;;;;;
61;R$ 63.828;R$ 109.990;MASC;43;0;1;;;;;;;;;
62;R$ 18.669;R$ 192.441;OUTROS;58;1;1;;;;;;;;;
63;R$ 1.009;R$ 80.489;MASC;28;1;1;;;;;;;;;
64;R$ 167.081;R$ 183.381;OUTROS;44;1;1;;;;;;;;;
65;R$ 12.511;R$ 141.333;FEM;64;0;1;;;;;;;;;
66;R$ 9.574;R$ 261.131;FEM;42;0;1;;;;;;;;;
67;R$ 47.123;R$ 235.296;OUTROS;31;0;0;;;;;;;;;
68;R$ 85.622;R$ 117.349;MASC;18;0;1;;;;;;;;;
69;R$ 108.018;R$ 170.813;MASC;74;1;0;;;;;;;;;
70;R$ 16.043;R$ 102.639;FEM;31;0;0;;;;;;;;;
71;R$ 48.662;R$ 165.486;FEM;25;1;1;;;;;;;;;
72;R$ 11.002;R$ 59.702;FEM;23;0;0;;;;;;;;;
73;R$ 51.526;R$ 82.861;MASC;24;0;1;;;;;;;;;
74;R$ 58.346;R$ 154.064;MASC;51;0;0;;;;;;;;;
75;R$ 3.619;R$ 113.055;OUTROS;44;0;1;;;;;;;;;
76;R$ 69.113;R$ 115.921;MASC;28;0;1;;;;;;;;;
77;R$ 107.358;R$ 110.645;MASC;26;1;1;;;;;;;;;
78;R$ 5.447;R$ 200.312;FEM;42;0;1;;;;;;;;;
79;R$ 79.806;R$ 126.152;MASC;57;0;1;;;;;;;;;
80;R$ 2.281;R$ 96.535;MASC;43;0;1;;;;;;;;;
81;R$ 1.037;R$ 136.286;FEM;35;1;1;;;;;;;;;
82;R$ 10.952;R$ 57.104;OUTROS;38;0;1;;;;;;;;;
83;R$ 9.189;R$ 76.712;MASC;33;0;1;;;;;;;;;
84;R$ 102.929;R$ 126.818;MASC;38;0;1;;;;;;;;;
85;R$ 60.234;R$ 178.939;MASC;60;1;0;;;;;;;;;
86;R$ 93.096;R$ 194.625;MASC;61;0;0;;;;;;;;;
87;R$ 100.155;R$ 194.984;MASC;34;1;0;;;;;;;;;
88;R$ 34.327;R$ 126.314;MASC;27;0;1;;;;;;;;;
89;R$ 5.745;R$ 116.777;FEM;25;0;0;;;;;;;;;
90;R$ 3.807;R$ 210.816;MASC;24;1;0;;;;;;;;;
91;R$ 118.639;R$ 158.306;MASC;23;0;0;;;;;;;;;
92;R$ 43.720;R$ 125.188;MASC;23;1;1;;;;;;;;;
93;R$ 27.572;R$ 56.189;MASC;11;0;1;;;;;;;;;
94;R$ 97.721;R$ 210.960;MASC;44;0;1;;;;;;;;;
95;R$ 48.735;R$ 130.244;FEM;27;1;1;;;;;;;;;
96;R$ 7.052;R$ 103.046;FEM;31;0;1;;;;;;;;;
97;R$ 3.955;R$ 171.194;MASC;23;1;1;;;;;;;;;
98;R$ 41.834;R$ 102.585;MASC;62;0;0;;;;;;;;;
99;R$ 69.799;R$ 158.593;FEM;52;0;1;;;;;;;;;
100;R$ 30.876;R$ 164.895;FEM;50;0;0;;;;;;;;;
101;R$ 115.787;R$ 175.403;MASC;21;0;1;;;;;;;;;
102;R$ 11.048;R$ 144.784;FEM;45;0;1;;;;;;;;;
103;R$ 44.406;R$ 81.561;MASC;49;0;0;;;;;;;;;
104;R$ 641;R$ 140.002;FEM;62;1;1;;;;;;;;;
105;R$ 137.362;R$ 145.608;FEM;56;1;0;;;;;;;;;
106;R$ 59.008;R$ 207.225;MASC;17;0;1;;;;;;;;;
107;R$ 99.952;R$ 113.739;OUTROS;47;0;0;;;;;;;;;
108;R$ 89.626;R$ 235.818;FEM;25;0;1;;;;;;;;;
109;R$ 15.933;R$ 181.236;MASC;28;0;1;;;;;;;;;
110;R$ 152.030;R$ 163.312;FEM;31;1;1;;;;;;;;;
111;R$ 117.817;R$ 220.920;FEM;60;0;1;;;;;;;;;
112;R$ 3.090;R$ 85.057;MASC;13;0;0;;;;;;;;;
113;R$ 72.933;R$ 213.447;MASC;52;0;0;;;;;;;;;
114;R$ 62.887;R$ 268.491;FEM;33;0;1;;;;;;;;;
115;R$ 1.568;R$ 133.667;MASC;33;0;1;;;;;;;;;
116;R$ 75.849;R$ 130.089;FEM;55;1;1;;;;;;;;;
117;R$ 7.388;R$ 88.708;OUTROS;68;1;1;;;;;;;;;
118;R$ 106.858;R$ 217.004;MASC;22;1;1;;;;;;;;;
119;R$ 11.636;R$ 33.199;FEM;21;0;1;;;;;;;;;
120;R$ 52.701;R$ 107.271;MASC;30;0;1;;;;;;;;;
121;R$ 141.965;R$ 209.691;FEM;39;0;1;;;;;;;;;
122;R$ 86.823;R$ 130.929;MASC;53;1;1;;;;;;;;;
123;R$ 39.566;R$ 104.942;FEM;42;1;0;;;;;;;;;
124;R$ 80.995;R$ 169.012;FEM;34;1;0;;;;;;;;;
125;R$ 23.446;R$ 134.149;FEM;38;0;1;;;;;;;;;
126;R$ 413;R$ 142.897;MASC;20;0;1;;;;;;;;;
127;R$ 130.500;R$ 165.252;MASC;35;1;1;;;;;;;;;
128;R$ 49.711;R$ 140.011;FEM;44;0;1;;;;;;;;;
129;R$ 913;R$ 166.029;MASC;68;1;1;;;;;;;;;
130;R$ 55.837;R$ 130.550;FEM;69;0;1;;;;;;;;;
131;R$ 177.374;R$ 232.043;MASC;45;0;1;;;;;;;;;
132;R$ 40.241;R$ 128.042;FEM;63;0;1;;;;;;;;;
133;R$ 290;R$ 234.959;FEM;60;0;0;;;;;;;;;
134;R$ 143.846;R$ 153.529;FEM;37;0;1;;;;;;;;;
135;R$ 65.795;R$ 175.847;MASC;43;0;1;;;;;;;;;
136;R$ 14.135;R$ 95.248;FEM;13;1;0;;;;;;;;;
137;R$ 53.956;R$ 77.213;FEM;38;0;0;;;;;;;;;
138;R$ 49.842;R$ 149.700;MASC;71;0;0;;;;;;;;;
139;R$ 55.044;R$ 86.221;FEM;46;0;1;;;;;;;;;
140;R$ 2.481;R$ 118.584;FEM;55;0;0;;;;;;;;;
141;R$ 81.916;R$ 121.978;FEM;47;1;1;;;;;;;;;
142;R$ 220.607;R$ 223.935;MASC;65;0;0;;;;;;;;;
143;R$ 34.923;R$ 197.085;MASC;55;0;1;;;;;;;;;
144;R$ 11.987;R$ 119.715;OUTROS;54;1;1;;;;;;;;;
145;R$ 67.410;R$ 130.746;FEM;20;0;1;;;;;;;;;
146;R$ 476;R$ 39.032;FEM;44;0;0;;;;;;;;;
147;R$ 5.871;R$ 148.499;FEM;34;0;1;;;;;;;;;
148;R$ 4.194;R$ 48.330;MASC;59;0;0;;;;;;;;;
149;R$ 65.591;R$ 169.977;FEM;23;0;0;;;;;;;;;
150;R$ 14.048;R$ 131.346;FEM;32;0;1;;;;;;;;;
151;R$ 7.101;R$ 133.764;MASC;39;0;0;;;;;;;;;
152;R$ 1.364;R$ 192.222;MASC;29;1;1;;;;;;;;;
153;R$ 67.786;R$ 218.957;FEM;54;0;1;;;;;;;;;
154;R$ 185.476;R$ 204.856;MASC;20;0;0;;;;;;;;;
155;R$ 1.854;R$ 146.497;MASC;23;0;0;;;;;;;;;
156;R$ 116.180;R$ 171.220;MASC;32;0;1;;;;;;;;;
157;R$ 38.205;R$ 89.570;FEM;26;1;1;;;;;;;;;
158;R$ 25.517;R$ 213.713;FEM;54;1;0;;;;;;;;;
159;R$ 522;R$ 200.263;FEM;43;0;0;;;;;;;;;
160;R$ 96.087;R$ 167.608;MASC;6;0;1;;;;;;;;;
161;R$ 80.964;R$ 112.870;FEM;42;1;1;;;;;;;;;
162;R$ 6.307;R$ 195.740;MASC;45;0;0;;;;;;;;;
163;R$ 100.995;R$ 118.366;MASC;38;1;0;;;;;;;;;
164;R$ 13.675;R$ 150.351;MASC;45;0;0;;;;;;;;;
165;R$ 39.504;R$ 202.404;MASC;32;0;1;;;;;;;;;
166;R$ 5.692;R$ 126.645;MASC;39;1;0;;;;;;;;;
167;R$ 16.493;R$ 73.953;MASC;65;0;0;;;;;;;;;
168;R$ 10.525;R$ 118.071;MASC;46;0;0;;;;;;;;;
169;R$ 228;R$ 102.286;FEM;49;0;1;;;;;;;;;
170;R$ 19.033;R$ 133.859;MASC;35;1;0;;;;;;;;;
171;R$ 22.011;R$ 162.055;MASC;17;1;1;;;;;;;;;
172;R$ 21.251;R$ 164.566;MASC;25;1;1;;;;;;;;;
173;R$ 12.573;R$ 175.467;MASC;42;0;1;;;;;;;;;
174;R$ 25.315;R$ 130.488;MASC;52;1;1;;;;;;;;;
175;R$ 19.842;R$ 186.727;FEM;32;0;1;;;;;;;;;
176;R$ 137.939;R$ 177.388;MASC;47;1;0;;;;;;;;;
177;R$ 8.877;R$ 178.934;FEM;31;1;1;;;;;;;;;
178;R$ 74.529;R$ 196.865;MASC;39;0;0;;;;;;;;;
179;R$ 76.859;R$ 79.106;FEM;15;0;1;;;;;;;;;
180;R$ 13.777;R$ 69.532;FEM;24;0;1;;;;;;;;;
181;R$ 10.029;R$ 145.896;FEM;47;1;0;;;;;;;;;
182;R$ 133;R$ 188.305;FEM;61;0;0;;;;;;;;;
183;R$ 103.712;R$ 211.465;FEM;20;0;0;;;;;;;;;
184;R$ 65.677;R$ 82.119;MASC;52;1;0;;;;;;;;;
185;R$ 79.338;R$ 159.084;FEM;38;0;1;;;;;;;;;
186;R$ 144;R$ 124.014;FEM;52;0;1;;;;;;;;;
187;R$ 85.199;R$ 156.120;FEM;50;0;0;;;;;;;;;
188;R$ 154.835;R$ 190.033;FEM;53;0;1;;;;;;;;;
189;R$ 104.607;R$ 239.153;FEM;32;0;0;;;;;;;;;
190;R$ 1.332;R$ 134.873;MASC;28;1;0;;;;;;;;;
191;R$ 41.387;R$ 191.467;MASC;58;0;0;;;;;;;;;
192;R$ 54.782;R$ 117.089;OUTROS;26;0;0;;;;;;;;;
193;R$ 64.559;R$ 91.357;OUTROS;35;0;0;;;;;;;;;
194;R$ 11.459;R$ 72.684;FEM;20;1;0;;;;;;;;;
195;R$ 67.964;R$ 163.794;MASC;52;0;0;;;;;;;;;
196;R$ 92.401;R$ 261.548;MASC;50;0;0;;;;;;;;;
197;R$ 68.515;R$ 218.384;FEM;63;0;1;;;;;;;;;
198;R$ 126.869;R$ 138.526;FEM;56;1;0;;;;;;;;;
199;R$ 2.789;R$ 62.645;FEM;24;0;1;;;;;;;;;
200;R$ 5.882;R$ 117.056;FEM;47;0;0;;;;;;;;;
